,Demanda final
"Agricultura, inclusive o apoio à agricultura e a pós-colheita",165662.0
"Pecuária, inclusive o apoio à pecuária",33110.0
Produção florestal; pesca e aquicultura,18884.0
Extração de carvão mineral e de minerais não metálicos,2379.0
"Extração de petróleo e gás, inclusive as atividades de apoio",50721.0
"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",44992.0
"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",9813.0
"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",209134.0
Fabricação e refino de açúcar,26720.0
Outros produtos alimentares,188318.0
Fabricação de bebidas,42549.0
Fabricação de produtos do fumo,14361.0
Fabricação de produtos têxteis,16375.0
Confecção de artefatos do vestuário e acessórios,53102.0
Fabricação de calçados e de artefatos de couro,33589.0
Fabricação de produtos da madeira,7316.0
"Fabricação de celulose, papel e produtos de papel",34494.0
Impressão e reprodução de gravações,40.0
Refino de petróleo e coquerias,95776.0
Fabricação de biocombustíveis,26722.0
"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",21896.0
"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",8101.0
"Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",29546.0
Fabricação de produtos farmoquímicos e farmacêuticos,47642.0
Fabricação de produtos de borracha e de material plástico,16198.0
Fabricação de produtos de minerais não metálicos,8641.0
"Produção de ferro gusa/ferroligas, siderurgia e tubos de aço sem costura",35274.0
Metalurgia de metais não ferosos e a fundição de metais,25778.0
"Fabricação de produtos de metal, exceto máquinas e equipamentos",24142.0
"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",66638.0
Fabricação de máquinas e equipamentos elétricos,41032.0
Fabricação de máquinas e equipamentos mecânicos,93379.0
"Fabricação de automóveis, caminhões e ônibus, exceto peças",135275.0
Fabricação de peças e acessórios para veículos automotores,15838.0
"Fabricação de outros equipamentos de transporte, exceto veículos automotores",41704.0
Fabricação de móveis e de produtos de indústrias diversas,55434.0
"Manutenção, reparação e instalação de máquinas e equipamentos",14408.0
"Energia elétrica, gás natural e outras utilidades",75642.0
"Água, esgoto e gestão de resíduos",25128.0
Construção,539568.0
Comércio por atacado e varejo,639588.0
Transporte terrestre,95249.0
Transporte aquaviário,7969.0
Transporte aéreo,13396.0
"Armazenamento, atividades auxiliares dos transportes e correio",34560.0
Alojamento,10703.0
Alimentação,190840.0
Edição e edição integrada à impressão,11227.0
"Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem",2128.0
Telecomunicações,89703.0
Desenvolvimento de sistemas e outros serviços de informação,64696.0
"Intermediação financeira, seguros e previdência complementar",269009.0
Atividades imobiliárias,498332.0
"Atividades jurídicas, contábeis, consultoria e sedes de empresas",28004.0
"Serviços de arquitetura, engenharia, testes/análises técnicas e P & D",66621.0
"Outras atividades profissionais, científicas e técnicas",4557.0
Aluguéis não imobiliários e gestão de ativos de propriedade intelectual,6948.0
Outras atividades administrativas e serviços complementares,47935.0
"Atividades de vigilância, segurança e investigação",411.0
"Administração pública, defesa e seguridade social",672372.0
Educação pública,288544.0
Educação privada,101320.0
Saúde pública,175278.0
Saúde privada,203773.0
"Atividades artísticas, criativas e de espetáculos",27830.0
Organizações associativas e outros serviços pessoais,126027.0
Serviços domésticos,61996.0
