,Unnamed:,Unnamed:,Valor da produção,"Agricultura, inclusive o apoio à agricultura e a pós-colheita","Pecuária, inclusive o apoio à pecuária",Produção florestal; pesca e aquicultura,Extração de carvão mineral e de minerais não metálicos,"Extração de petróleo e gás, inclusive as atividades de apoio","Extração de minério de ferro, inclusive beneficiamentos e a aglomeração","Extração de minerais metálicos não ferrosos, inclusive beneficiamentos","Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",Fabricação e refino de açúcar,Outros produtos alimentares,Fabricação de bebidas,Fabricação de produtos do fumo,Fabricação de produtos têxteis,Confecção de artefatos do vestuário e acessórios,Fabricação de calçados e de artefatos de couro,Fabricação de produtos da madeira,"Fabricação de celulose, papel e produtos de papel",Impressão e reprodução de gravações,Refino de petróleo e coquerias,Fabricação de biocombustíveis,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros","Fabricação de defensivos, desinfestantes, tintas e químicos diversos","Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",Fabricação de produtos farmoquímicos e farmacêuticos,Fabricação de produtos de borracha e de material plástico,Fabricação de produtos de minerais não metálicos,"Produção de ferro gusa/ferroligas, siderurgia e tubos de aço sem costura",Metalurgia de metais não ferosos e a fundição de metais,"Fabricação de produtos de metal, exceto máquinas e equipamentos","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",Fabricação de máquinas e equipamentos elétricos,Fabricação de máquinas e equipamentos mecânicos,"Fabricação de automóveis, caminhões e ônibus, exceto peças",Fabricação de peças e acessórios para veículos automotores,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",Fabricação de móveis e de produtos de indústrias diversas,"Manutenção, reparação e instalação de máquinas e equipamentos","Energia elétrica, gás natural e outras utilidades","Água, esgoto e gestão de resíduos",Construção,Comércio por atacado e varejo,Transporte terrestre,Transporte aquaviário,Transporte aéreo,"Armazenamento, atividades auxiliares dos transportes e correio",Alojamento,Alimentação,Edição e edição integrada à impressão,"Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem",Telecomunicações,Desenvolvimento de sistemas e outros serviços de informação,"Intermediação financeira, seguros e previdência complementar",Atividades imobiliárias,"Atividades jurídicas, contábeis, consultoria e sedes de empresas","Serviços de arquitetura, engenharia, testes/análises técnicas e P & D","Outras atividades profissionais, científicas e técnicas",Aluguéis não imobiliários e gestão de ativos de propriedade intelectual,Outras atividades administrativas e serviços complementares,"Atividades de vigilância, segurança e investigação","Administração pública, defesa e seguridade social",Educação pública,Educação privada,Saúde pública,Saúde privada,"Atividades artísticas, criativas e de espetáculos",Organizações associativas e outros serviços pessoais,Serviços domésticos,Total do produto,Exportação de bens e serviços,Consumo do governo,Consumo das  ISFLSF,Consumo  das famílias,Formação bruta de capital fixo,Variação de estoque,Demanda final,Demanda total
0,019110191201913019140191501916019170191801919,"Arroz, trigo e outros cereaisMilho em grãoAlgodão herbáceo, outras fibras da lavoura temporáriaCana-de-açúcarSoja  em grãoOutros produtos e serviços da lavoura temporáriaLaranjaCafé em grãoOutros produtos da lavoura permanente",302321.0,6657.0,3635.0,78.0,0.0,0.0,0.0,0.0,910.0,25194.0,56751.0,1668.0,5870.0,2777.0,0.0,0.0,0.0,0.0,0.0,0.0,18138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,6.0,9641.0,0.0,0.0,0.0,0.0,285.0,3147.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,122.0,0.0,676.0,403.0,51.0,183.0,203.0,1.0,222.0,0.0,136659.0,111125.0,36.0,0.0,58210.0,305.0,-4014.0,165662.0,302321.0
1,01921019220192301924,"Bovinos e outros animais vivos, produtos animal, caça e serviçosLeite de vaca e de outros animaisSuínosAves e ovos",128920.0,521.0,4475.0,45.0,0.0,0.0,0.0,0.0,87357.0,0.0,1589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,279.0,1176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,119.0,88.0,10.0,22.0,109.0,0.0,8.0,0.0,95810.0,1997.0,2.0,0.0,18007.0,12206.0,898.0,33110.0,128920.0
2,0280102802,"Produtos da exploração florestal e da silviculturaPesca e aquicultura (peixe, crustáceos e moluscos)",34101.0,915.0,1095.0,1728.0,2.0,0.0,0.0,0.0,1406.0,0.0,212.0,1.0,4.0,39.0,10.0,14.0,2727.0,3681.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,887.0,85.0,764.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,687.0,240.0,0.0,0.0,0.0,0.0,38.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,61.0,65.0,4.0,29.0,13.0,0.0,0.0,0.0,15217.0,2294.0,4.0,0.0,16466.0,752.0,-632.0,18884.0,34101.0
3,0580105802,Carvão mineralMinerais não metálicos,20365.0,46.0,356.0,11.0,324.0,534.0,0.0,1.0,51.0,10.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,228.0,1514.0,84.0,0.0,0.0,0.0,5453.0,1328.0,331.0,1.0,0.0,40.0,0.0,0.0,30.0,0.0,33.0,0.0,295.0,355.0,6219.0,70.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,17.0,0.0,3.0,1.0,0.0,0.0,0.0,17986.0,1896.0,0.0,0.0,0.0,0.0,483.0,2379.0,20365.0
4,06801,"Petróleo, gás natural e serviços de apoio",162130.0,0.0,0.0,0.0,1.0,12079.0,46.0,14.0,24.0,0.0,240.0,48.0,0.0,43.0,0.0,0.0,13.0,219.0,0.0,93241.0,0.0,565.0,26.0,9.0,12.0,27.0,189.0,107.0,96.0,117.0,0.0,7.0,5.0,23.0,44.0,0.0,0.0,0.0,4157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111409.0,38789.0,0.0,0.0,0.0,8548.0,3384.0,50721.0,162130.0
5,07911,Minério de ferro,52647.0,0.0,0.0,0.0,0.0,0.0,537.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,7023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7655.0,43589.0,0.0,0.0,0.0,0.0,1403.0,44992.0,52647.0
6,07921,Minerais metálicos não ferrosos,16595.0,0.0,0.0,0.0,0.0,50.0,7.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1709.0,4278.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6782.0,8614.0,0.0,0.0,0.0,0.0,1199.0,9813.0,16595.0
7,109111091210913109141091510916,"Carne de bovinos e outros produtos de carneCarne de suínoCarne de avesPescado industrializadoLeite resfriado, esterilizado e pasteurizadoOutros produtos do laticínio",260369.0,7.0,1314.0,1.0,0.0,0.0,0.0,0.0,21252.0,0.0,1830.0,0.0,0.0,0.0,0.0,2946.0,0.0,0.0,0.0,0.0,727.0,0.0,11.0,1427.0,2.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,362.0,0.0,0.0,0.0,0.0,498.0,15428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1826.0,1630.0,210.0,791.0,712.0,3.0,208.0,0.0,51235.0,54191.0,115.0,0.0,154485.0,0.0,343.0,209134.0,260369.0
8,10921,Açúcar,35744.0,15.0,60.0,1.0,0.0,0.0,0.0,0.0,358.0,1204.0,4403.0,979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0,0.0,419.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,727.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,63.0,70.0,7.0,34.0,20.0,0.0,7.0,0.0,9024.0,24834.0,0.0,0.0,4109.0,0.0,-2223.0,26720.0,35744.0
9,10931109321093310934109351093610937,"Conservas de frutas, legumes, outros vegetais e sucos de frutasÓleos e gorduras vegetais e animaisCafé beneficiadoArroz beneficiado e produtos derivados do arrozProdutos derivados do trigo, mandioca ou milhoRações balanceadas para animaisOutros produtos alimentares",275804.0,1218.0,10933.0,814.0,19.0,0.0,3.0,0.0,22418.0,0.0,26433.0,2070.0,0.0,0.0,0.0,0.0,0.0,539.0,0.0,0.0,2088.0,1.0,405.0,763.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,3644.0,6.0,0.0,34.0,15.0,282.0,9954.0,0.0,0.0,14.0,0.0,177.0,12.0,29.0,10.0,29.0,0.0,1.0,0.0,1266.0,1493.0,151.0,1270.0,596.0,30.0,756.0,0.0,87486.0,40930.0,122.0,0.0,147717.0,0.0,-451.0,188318.0,275804.0
